id,text,predicted_label,confidence,uncertainty,model_a,model_a_label,model_a_votes,model_b,model_b_label,model_b_votes,cross_model_disagree,cost_usd
24,Smells strongly of chemicals straight out of the box.,negative,1.0,0.0,llama-3.3-70b-versatile,negative,negative|negative|negative,llama-3.1-8b-instant,negative,negative|negative|negative,0,0.000262
26,This app drains my battery faster than any other app I own.,negative,1.0,0.0,llama-3.3-70b-versatile,negative,negative|negative|negative,llama-3.1-8b-instant,negative,negative|negative|negative,0,0.000265
19,"Completely broke on day one, requesting a refund.",negative,1.0,0.0,llama-3.3-70b-versatile,negative,negative|negative|negative,llama-3.1-8b-instant,negative,negative|negative|negative,0,0.000262
20,"Love how lightweight it is, perfect for travel.",positive,1.0,0.0,llama-3.3-70b-versatile,positive,positive|positive|positive,llama-3.1-8b-instant,positive,positive|positive|positive,0,0.00026
17,The fabric started fraying after just two washes.,negative,1.0,0.0,llama-3.3-70b-versatile,negative,negative|negative|negative,llama-3.1-8b-instant,negative,negative|negative|negative,0,0.000262
29,My order arrived damaged and missing parts.,negative,1.0,0.0,llama-3.3-70b-versatile,negative,negative|negative|negative,llama-3.1-8b-instant,negative,negative|negative|negative,0,0.000256
28,"It's neither good nor bad, just exists.",neutral,1.0,0.0,llama-3.3-70b-versatile,neutral,neutral|neutral|neutral,llama-3.1-8b-instant,neutral,neutral|neutral|neutral,0,0.00026
27,"Incredible value, didn't expect this quality at this price.",positive,1.0,0.0,llama-3.3-70b-versatile,positive,positive|positive|positive,llama-3.1-8b-instant,positive,positive|positive|positive,0,0.000265
30,The customer onboarding flow is the smoothest I've seen.,positive,1.0,0.0,llama-3.3-70b-versatile,positive,positive|positive|positive,llama-3.1-8b-instant,positive,positive|positive|positive,0,0.000265
34,The subscription auto-renewed without any warning email.,negative,1.0,0.0,llama-3.3-70b-versatile,negative,negative|negative|negative,llama-3.1-8b-instant,negative,negative|negative|negative,0,0.000262
35,"Looks exactly like the photos, happy with the purchase.",positive,1.0,0.0,llama-3.3-70b-versatile,positive,positive|positive|positive,llama-3.1-8b-instant,positive,positive|positive|positive,0,0.000262
36,"Mediocre, wouldn't actively recommend but wouldn't warn against it either.",neutral,1.0,0.0,llama-3.3-70b-versatile,neutral,neutral|neutral|neutral,llama-3.1-8b-instant,neutral,neutral|neutral|neutral,0,0.000271
33,"I've recommended this to three friends already, that good.",positive,1.0,0.0,llama-3.3-70b-versatile,positive,positive|positive|positive,llama-3.1-8b-instant,positive,positive|positive|positive,0,0.000263
37,Support chat just looped me through the same three questions.,negative,1.0,0.0,llama-3.3-70b-versatile,negative,negative|negative|negative,llama-3.1-8b-instant,negative,negative|negative|negative,0,0.000263
38,"Genuinely the best headphones I've owned, worth every rupee.",positive,1.0,0.0,llama-3.3-70b-versatile,positive,positive|positive|positive,llama-3.1-8b-instant,positive,positive|positive|positive,0,0.000269
40,"Screen cracked from a minor drop, fragile material.",negative,1.0,0.0,llama-3.3-70b-versatile,negative,negative|negative|negative,llama-3.1-8b-instant,negative,negative|negative|negative,0,0.00026
39,"It's a standard option, comparable to competitors.",neutral,1.0,0.0,llama-3.3-70b-versatile,neutral,neutral|neutral|neutral,llama-3.1-8b-instant,neutral,neutral|neutral|neutral,0,0.00026
41,"Setup wizard walked me through everything, zero confusion.",positive,1.0,0.0,llama-3.3-70b-versatile,positive,positive|positive|positive,llama-3.1-8b-instant,positive,positive|positive|positive,0,0.00026
43,"Refund process took over a month, very frustrating.",negative,1.0,0.0,llama-3.3-70b-versatile,negative,negative|negative|negative,llama-3.1-8b-instant,negative,negative|negative|negative,0,0.000262
44,"Exceeded expectations, the build quality feels premium.",positive,1.0,0.0,llama-3.3-70b-versatile,positive,positive|positive|positive,llama-3.1-8b-instant,positive,positive|positive|positive,0,0.00026
45,"Just an average experience overall, nothing memorable.",neutral,1.0,0.0,llama-3.3-70b-versatile,neutral,neutral|neutral|neutral,llama-3.1-8b-instant,neutral,neutral|neutral|neutral,0,0.000258
